member_id,check_in_timestamp,membership_type,gender
M001,2023-10-01 08:15:00,Premium,Male
M002,2023-10-01 08:30:00,Basic,Female
M003,2023-10-01 09:05:00,VIP,Male
M004,2023-10-01 12:10:00,Basic,Male
M005,2023-10-01 12:30:00,Premium,Female
M006,2023-10-01 13:45:00,Basic,Female
M007,2023-10-01 17:00:00,VIP,Male
M008,2023-10-01 17:25:00,Premium,Female
M009,2023-10-01 18:10:00,Basic,Male
M010,2023-10-01 18:40:00,Premium,Male
M011,2023-10-01 19:00:00,VIP,Female
M012,2023-10-01 20:05:00,Basic,Female
M013,2023-10-02 07:30:00,Premium,Male
M014,2023-10-02 08:45:00,Basic,Female
M015,2023-10-02 12:50:00,VIP,Male
M016,2023-10-02 13:15:00,Premium,Male
M017,2023-10-02 17:30:00,Basic,Female
M018,2023-10-02 18:00:00,VIP,Male
M019,2023-10-02 18:20:00,Premium,Female
M020,2023-10-02 19:15:00,Basic,Male
M021,2023-10-03 09:10:00,VIP,Female
M022,2023-10-03 13:00:00,Basic,Female
M023,2023-10-03 17:45:00,Premium,Male
M024,2023-10-03 18:15:00,VIP,Male
M025,2023-10-04 08:00:00,Basic,Female
M026,2023-10-04 12:20:00,Premium,Male
M027,2023-10-04 18:05:00,Basic,Female
M028,2023-10-04 19:30:00,VIP,Female
M029,2023-10-05 07:45:00,Premium,Male
M030,2023-10-05 13:30:00,Basic,Female
M031,2023-10-05 17:55:00,VIP,Male
M032,2023-10-05 18:50:00,Premium,Female
M033,2023-10-06 09:30:00,Basic,Male
M034,2023-10-06 12:40:00,VIP,Female
M035,2023-10-06 19:45:00,Premium,Male
M036,2023-10-06 20:10:00,Basic,Male
M037,2023-10-07 10:00:00,VIP,Female
M038,2023-10-07 11:15:00,Premium,Male
M039,2023-10-07 14:00:00,Basic,Female
M040,2023-10-07 15:30:00,VIP,Male